x(m),y(m),z(m),InvalidFlags,RangeRate(m/S),RangeRateSTD(m/S),RCS(dBm2),MeasurementID,PositivePredictiveValue(%),Classification,MultiTargetProbability(%),ObjectID,AmbiguityFlag,SortIndex
Timestamp_Seconds,588,,,,,,,,,,,,
Timestamp_Nanoseconds,82045000,,,,,,,,,,,,
Origin_Xpos,2.67,,,,,,,,,,,,
Origin_Ypos,0,,,,,,,,,,,,
Origin_Zpos,0.61,,,,,,,,,,,,
Origin_Roll,0,,,,,,,,,,,,
Origin_Pitch,0,,,,,,,,,,,,
Origin_Yaw,0,,,,,,,,,,,,
List_RadVelDomain_Min,-23.54,,,,,,,,,,,,
List_RadVelDomain_Max,23.54,,,,,,,,,,,,
Aln_AzimuthCorrection,0,,,,,,,,,,,,
Aln_ElevationCorrection,0,,,,,,,,,,,,
Aln_Status,ALIGNMENT_NOTOK,,,,,,,,,,,,
List_NumOfDetections,278,,,,,,,,,,,,
x(m),y(m),z(m),InvalidFlags,RangeRate(m/S),RangeRateSTD(m/S),RCS(dBm2),MeasurementID,PositivePredictiveValue(%),Classification,MultiTargetProbability(%),ObjectID,AmbiguityFlag,SortIndex
74.78,-100.04,3.9,0,-0.03,0.25,3,315,100,NoClassification,15,0,100,0
123.85,14.05,-10.83,0,0.04,0.25,-10,314,100,TraversableUnder,28,4522,100,0
127.12,7.35,-15.52,0,0.04,0.25,-8,316,100,TraversableUnder,9,25259,100,0
101.78,79.59,-10.53,0,0.03,0.25,8,317,100,TraversableUnder,1,18687,100,0
126.29,37.58,-14.08,0,0,0.25,-2,320,100,TraversableUnder,9,16570,100,0
132.95,7.29,-15.46,0,0.03,0.25,-7,321,100,NoClassification,16,0,100,0
104.55,86.8,-9.89,0,-0.03,0.25,0,323,100,TraversableUnder,4,9918,100,0
135.61,15.13,5.64,0,0,0.25,-7,322,100,TraversableUnder,6,27052,100,0
135.66,14.78,-12,0,-0.05,0.25,-9,324,100,TraversableUnder,49,27052,100,0
114.17,81.73,-10.68,0,-0.01,0.25,1,325,100,TraversableUnder,13,12706,100,0
135.17,-65.25,-0.39,0,0,0.25,-9,328,100,Obstacle,15,17466,100,0
134.65,-67.67,-1.34,0,0.03,0.25,-5,329,100,Obstacle,5,17466,100,0
134.1,-69.89,0,0,0.01,0.25,-8,330,100,Obstacle,10,17466,100,0
138.71,-64.05,-2.9,0,-0.01,0.25,-2,331,100,Obstacle,9,17466,100,0
151.52,17.68,-13.88,0,0.03,0.25,-5,332,100,TraversableUnder,63,11427,100,0
153.43,8.34,-16.61,0,0,0.25,4,333,100,TraversableUnder,28,2125,100,0
154.67,8.62,-18.87,0,0,0.25,12,334,100,TraversableUnder,2,2125,100,0
149.97,44.26,-16.96,0,0,0.25,15,335,100,TraversableUnder,8,25563,100,0
150.72,43.22,-16.83,0,-0.01,0.25,4,336,100,TraversableUnder,1,25563,100,0
152.28,40.89,-16.63,0,0.04,0.25,7,337,100,TraversableUnder,2,25563,100,0
152.78,39.89,-17.64,0,-0.01,0.25,9,339,100,TraversableUnder,22,25563,100,0
151.73,45.95,-15.02,0,0.03,0.25,-4,338,100,TraversableUnder,2,25563,100,0
154.21,39.86,-17.83,0,0.01,0.25,8,340,100,TraversableUnder,1,25563,100,0
154.45,46.13,-15.62,0,-0.03,0.25,3,341,100,TraversableUnder,9,24371,100,0
158.75,33.52,-18.04,0,-0.06,0.25,2,342,100,TraversableUnder,24,17464,100,0
159.27,39.02,-17.84,0,0,0.25,27,344,100,TraversableUnder,18,14781,100,0
130.23,102.19,19.07,0,-0.07,0.25,6,345,100,NoClassification,21,0,70,0
171.17,-0.32,-2.91,0,0.01,0.25,1,346,100,Obstacle,8,26172,100,0
171.26,-0.65,-15.19,0,-0.05,0.25,-2,349,100,NoClassification,18,0,0,0
164.16,-50,-16.49,0,-0.02,0.25,-3,348,100,NoClassification,13,0,0,0
170.8,19.88,-16.28,0,0,0.25,0,351,100,NoClassification,2,0,100,0
166.45,42.88,-17.56,0,0.04,0.25,-1,350,100,TraversableUnder,26,18075,0,0
169.96,5.3,-33.66,0,0.02,0.25,3,352,100,NoClassification,18,0,0,0
169.12,42.83,-18.18,0,0.05,0.25,0,353,100,TraversableUnder,22,18075,100,0
176.72,5.79,-19.08,0,0.02,0.25,-1,355,100,TraversableUnder,3,18648,100,0
134.85,116.43,5.83,0,0.02,0.25,8,354,100,NoClassification,48,0,0,0
177.55,5.95,-17.09,0,0.02,0.25,3,356,100,TraversableUnder,30,18648,100,0
177.98,3.99,-21.66,0,0.04,0.25,0,357,100,TraversableUnder,7,18648,100,0
178.72,8.59,-20.07,0,-0.02,0.25,3,358,100,TraversableUnder,23,18648,100,0
175.14,42.53,-16.45,0,-0.01,0.25,10,360,100,TraversableUnder,4,27608,100,0
179.92,9.56,-21.82,0,0.01,0.25,11,359,100,TraversableUnder,14,18648,100,0
177.99,41.67,-19.11,0,0.01,0.25,4,361,100,TraversableUnder,6,27608,100,0
197.64,5.03,2.22,0,0.01,0.25,0,362,100,TraversableUnder,23,22201,100,0
196.9,23.33,7.28,0,0.01,0.25,6,364,100,TraversableUnder,7,21976,100,0
197.2,21.66,8.06,0,-0.02,0.25,5,367,100,TraversableUnder,21,21976,100,0
197.53,8.17,-20.73,0,0.02,0.25,5,366,100,TraversableUnder,29,24321,50,0
196.94,22.74,-18.69,0,0.01,0.25,3,365,100,TraversableUnder,5,21976,100,0
197.84,8.38,-29.59,0,-0.01,0.25,8,370,100,TraversableUnder,13,24321,0,0
197.26,23.67,-26.73,0,0,0.25,5,369,100,TraversableUnder,54,21976,50,0
199.96,8.54,-26.15,0,0,0.25,11,371,100,TraversableUnder,6,24321,100,0
200.99,16.56,-23.53,0,0.02,0.25,2,372,100,NoClassification,23,0,100,0
,,,,,,,,,,,,,
